
  Product name        Amount         Price (per kg)
S Banana              870 g          $19.67
S Pear                1850g          $19.1
S apple (green)       1.687kg        $ 12.25
S pear                922g           $19.9
P Pineapple           16093 g        $56.2
S Banana              332 g          $ 21.05
S Apple (red)         424 g          $9.4
S banana              1408 g         $23.16
S Apple (red)         412g           $7.94
S Pear                893g           $18
S Orange              0.887kg        $ 27.71
S Banana              1.308kg        $19.5
S Banana              317g           $ 23.22
S Watermelon          1.443 kg       $33.2
S Apple (red)         780g           $ 9.23
S Pear                379 g          $20.71
S pear                794 g          $17.42
S Pear                1139 g         $ 20.01
S orange              1.836kg        $24.31
S Banana              1.375kg        $ 23.97
S Watermelon          1164g          $29.20
S Apple (red)         1468 g         $9.12
P Orange              1.359 kg       $24.4
P Orange              1554g          $19.34
S Apple (red)         242 g          $8.96
S Orange              1.525kg        $25.8
S Watermelon          252 g          $32.38
S Apple (green)       703g           $12.24
S Orange              1.362kg        $27.46
S apple (red)         1791g          $9.25
S Pineapple           293 g          $61
S Watermelon          260g           $29.29
P pineapple           17.608kg       $53.06
S apple (green)       0.738 kg       $14.3
S apple (red)         1282 g         $7.92
S Watermelon          1.116kg        $ 32.5
S Apple (red)         755 g          $7.61
S Watermelon          1.865 kg       $ 31.2
P orange              887 g          $19
S apple (red)         591g           $ 7
S banana              224g           $21.06
S Banana              1642g          $20.6
S Watermelon          733 g          $32.07
S Pineapple           480 g          $62.63
S Apple (green)       1743 g         $12.20
S Watermelon          372g           $32.31
S Apple (green)       1588g          $11.64
P banana              15085g         $ 17
S Pear                565 g          $20
S Apple (green)       261 g          $12.4
S Pineapple           1.057kg        $ 60.5
S Apple (green)       1733g          $ 12.6
S Pear                980g           $19.89
S Pineapple           1521 g         $ 57.45
S Apple (red)         1.952 kg       $8.90
S Apple (green)       998g           $12.18
S Apple (green)       895 g          $13.51
S Watermelon          886g           $29.3
S Apple (green)       1.222 kg       $12.47
S Apple (red)         845 g          $9.23
S Apple (green)       801 g          $12.1
P Apple (green)       5442g          $12.04
S Apple (red)         1951g          $7.7
S Pineapple           828g           $ 67
S Pear                364 g          $ 19.2
S watermelon          386 g          $32.03
S watermelon          1295g          $31.38
P Orange              1290 g         $24.8
S Banana              1.637kg        $19.97
S Orange              1kg            $27.9
P Orange              1713g          $20.26
S pineapple           296 g          $55.79
S Watermelon          0.985kg        $ 33.09
S Watermelon          1.034 kg       $34.13
S Watermelon          0.909 kg       $30.6
S Watermelon          927g           $35.8
S Orange              1.439 kg       $27.13
S orange              268 g          $25.90
S orange              655g           $27.14
S Pear                1948g          $18
S Banana              1964 g         $22.43
S Pineapple           382 g          $ 68.70
S Apple (green)       1144g          $ 12.36
S Pineapple           0.999 kg       $58.44
S apple (red)         0.999kg        $9.34
P orange              0.834 kg       $ 24.51
S Banana              1.098 kg       $21.25
S Watermelon          0.989kg        $30.93
S Pear                1.801kg        $18.18
S Watermelon          954g           $33.82
S Pineapple           789 g          $62.84
S Pear                175 g          $ 20.01
S Watermelon          1932g          $29.36
P Pineapple           11424g         $49.21
S Banana              351 g          $21.19
S Pineapple           1.945kg        $57.72
S Apple (green)       1.56 kg        $ 11.6
S Orange              454g           $23.95
S Apple (green)       845g           $14.2
S pear                0.81kg         $18.1
S Watermelon          437 g          $ 28.54
S pear                1787g          $21.27
S Banana              241 g          $22.41
S Apple (green)       219 g          $14.21
S Watermelon          1.944kg        $30
S pineapple           176 g          $62.43
S Apple (red)         1829 g         $ 8.54
P Watermelon          7.558kg        $31.09
S Apple (red)         865 g          $ 9.39
P pineapple           11667 g        $53
S Apple (green)       238g           $13.6
S Apple (green)       686 g          $13.1
S pineapple           590g           $69
S Watermelon          1347 g         $34.59
S apple (green)       0.75kg         $14.34
S Apple (green)       1477g          $13.3
S Pineapple           987 g          $67.1
P Apple (green)       16.625 kg      $10.18
S Apple (red)         250g           $ 9.5
S Apple (green)       262g           $ 12
S Apple (green)       327g           $13
S Watermelon          1.761kg        $ 31.68
S apple (red)         1542g          $7.6
S pineapple           847g           $64.62
S Watermelon          1.281 kg       $35.1
S Apple (red)         1366g          $7.9
S Banana              393 g          $22.47
P Apple (green)       1567g          $ 11
S Banana              965g           $ 21.29
P Orange              17228g         $ 24
S Orange              1353 g         $25.4
S Pineapple           1030g          $55.71
S Watermelon          0.817kg        $ 28.74
S banana              0.854 kg       $23
S Banana              1.489 kg       $22.19
S apple (green)       0.836 kg       $12.41
S Watermelon          1847 g         $30.9
S Orange              333 g          $24.60
P Orange              13444 g        $22.07
S Banana              1069 g         $19.71
P Apple (red)         11628g         $7.02
S Watermelon          1651g          $35.55
S Orange              0.574kg        $24
S Banana              524g           $21.39
S Orange              1145g          $ 23.87
S orange              278 g          $24.20
S Apple (green)       1.791kg        $13.72
S Orange              385 g          $25.80
P pear                3.026 kg       $15.9
S Apple (green)       0.776kg        $13.51
S Watermelon          1.257 kg       $31.75
S Banana              0.999kg        $21.61
S Pear                649 g          $18.78
S Watermelon          0.949 kg       $31.90
S Orange              1912g          $27.9
S Apple (red)         312g           $7.75
S pear                584 g          $19.0
S Apple (red)         459g           $8.7
S pineapple           1057g          $63.44
S Apple (red)         1021g          $7.79
S Pear                975g           $ 20.9
S Pear                1159g          $20.9
S Orange              0.944kg        $24.82
S Apple (green)       0.641 kg       $12.11
S Orange              1.559kg        $27.0
S Pear                311g           $17.3
S watermelon          1.672kg        $28.68
S Banana              465g           $22.93
S Banana              328g           $19.6
S Orange              0.503kg        $27.06
S Apple (red)         0.638kg        $8
S Pineapple           176g           $55.75
P Watermelon          4.892 kg       $29
S apple (red)         1.377kg        $8.3
P pear                16.205 kg      $15.7
S Orange              849g           $24.66
S Orange              1652 g         $24.33
S Apple (green)       0.72kg         $13.0
S Banana              255g           $22.58
S Pear                1.224 kg       $18.5
S Orange              1.326kg        $ 25.84
S Orange              1540 g         $24.77
S Pineapple           1233 g         $56
S Banana              1.318 kg       $ 19.47
P Apple (red)         1.762kg        $ 7.78
S Pear                869 g          $20.72
S Pineapple           1427g          $63
S Pineapple           649 g          $57.09
S Banana              343g           $ 22.54
S Apple (green)       371 g          $ 13.5
S Orange              1677 g         $ 26.79
S Pear                1845g          $18.72
S Apple (red)         912g           $ 7.74
P Banana              3183 g         $ 20.09
S Pear                1775 g         $21.04
S Watermelon          1470 g         $30.34
S Banana              1505g          $19.28
S Banana              1410g          $ 20.1
P Apple (green)       12.489 kg      $9.99
P Pear                14796g         $15.87
S Pear                1395 g         $17.2
S Apple (red)         1.387 kg       $9.43
S apple (red)         0.764kg        $7.68
S Orange              1.875 kg       $ 28.36
S pineapple           0.842kg        $60.6
S Banana              774g           $19.51
S Pineapple           1.749 kg       $66
S Apple (green)       1975g          $ 14.37
S apple (green)       1789g          $12.89
S orange              0.7kg          $27
S Pineapple           399 g          $60.62
S Pineapple           1.171 kg       $ 63.09
S pear                264 g          $20.18
S apple (red)         1507g          $7
S Watermelon          0.783kg        $29.97
P watermelon          16993 g        $28.5
S Watermelon          1.638kg        $33.35
S Watermelon          1685 g         $ 30.0
S orange              1162g          $24.58
S Apple (red)         303 g          $7.63
S pineapple           505g           $ 61.95
S Watermelon          0.59kg         $30.81
S Apple (red)         583g           $7.60
S banana              371g           $19.48
S pineapple           1.669 kg       $60.54
S pear                1.282 kg       $ 21.52
S Apple (red)         0.716 kg       $ 7.96
S Watermelon          1285 g         $29.44
S Pear                1006 g         $19.58
S Apple (red)         1903g          $8.91
S Apple (green)       316 g          $13.44
S Pineapple           1.389kg        $ 58.69
S Apple (red)         0.849kg        $9.18
S Orange              0.883kg        $24.78
S pear                1.079 kg       $20.5
S Pineapple           208 g          $58.43
P Watermelon          11847g         $28.6
S Watermelon          1619 g         $29.89
S Apple (red)         517 g          $ 8.34
P Apple (green)       2.017 kg       $11.6
S pineapple           0.903 kg       $58.78
S pineapple           1799g          $ 59.12
P orange              3452g          $22.45
S Pear                1385 g         $20.20
P Watermelon          4.209kg        $28.5
S Apple (green)       1691g          $14.16
S Apple (red)         856 g          $9.03
S Pineapple           1.09 kg        $68.10
S Banana              922 g          $21
S Apple (red)         0.577kg        $8.20
S banana              1230g          $20.8
S Banana              397g           $21.78
P Apple (green)       9127g          $11.95
S Apple (red)         384g           $ 9.6
S Watermelon          597 g          $29.50
S pineapple           1846g          $56
S Orange              0.964 kg       $ 25.14
S Pineapple           774 g          $69.24
S Banana              861g           $22.79
S Apple (green)       1514g          $ 11.96
S Pear                1.188 kg       $20.17
S Orange              620g           $25
S Pineapple           1.305kg        $59.29
S Watermelon          468 g          $31.75
S Banana              1647 g         $19.30
S Watermelon          663 g          $31.36
S Pear                1403 g         $19.86
S Watermelon          374g           $34.37
S Apple (green)       500g           $12.10
S apple (green)       0.533 kg       $11.97
P Apple (red)         5513 g         $7.57
S Orange              194g           $28.01
S Watermelon          1347g          $ 34
S Pineapple           886g           $57.35
S pineapple           300g           $67
P apple (green)       19.146kg       $11
S Orange              1.799kg        $25.78
S Pineapple           550g           $66.18
S Pear                0.893kg        $20.1
S Pineapple           1.061 kg       $ 69.6
S Apple (green)       1437 g         $14.0
S Banana              1674g          $23.37
S Apple (green)       238g           $13.93
S Apple (red)         1.714kg        $8.57
S Banana              1.501kg        $22
S Banana              194g           $21.17
S Watermelon          143g           $31.08
P Watermelon          18314g         $24.01
S pineapple           1727g          $62.29
S Pineapple           1.648 kg       $62.31
S Apple (green)       414g           $ 13.02
S apple (green)       942g           $ 12.25
S Orange              126g           $25.73
S Orange              634 g          $26.82
S Watermelon          1390 g         $35
S Banana              1.455 kg       $21.34
S Pineapple           190 g          $69.42
S Apple (green)       491g           $12.73
S Watermelon          0.992 kg       $33.99
S pineapple           172g           $67.3
S Apple (red)         0.884 kg       $7.61
S Pineapple           0.873 kg       $56.21
S Apple (red)         1.841kg        $9.21
S Pineapple           1.404 kg       $63.82
P Apple (red)         4.871kg        $8.18
S apple (green)       812 g          $13.65
S Apple (red)         424g           $8.98
S Watermelon          1838 g         $32.80
P Apple (red)         12.37 kg       $8.19
S Watermelon          316 g          $29.4
S Orange              266g           $27.68
S Banana              141 g          $22.2
S Pear                1930 g         $19.33
S Orange              905 g          $28.2
S Apple (red)         1807g          $ 9.57
S Pineapple           1220 g         $60.66
P Orange              14104 g        $ 22.38
P Apple (red)         11.827 kg      $ 7.72
S Watermelon          206 g          $32.91
S Banana              0.575 kg       $21.67
S banana              0.508kg        $ 22.81
P watermelon          4905g          $25.5
S apple (red)         0.848kg        $9.6
S Banana              1594 g         $23.63
S Apple (green)       1654 g         $13.82
P Apple (green)       19.229 kg      $12.14
S Pear                818g           $20.36
S banana              1.658kg        $22.9
S Watermelon          1.533 kg       $33.29
S orange              1094g          $24
P Banana              1692 g         $18.09
S Apple (green)       268g           $ 14.1
S Orange              863g           $28
S Pineapple           1.137 kg       $56.9
S pear                576 g          $19
S Apple (green)       0.619kg        $11.44
S banana              549g           $23
S Apple (green)       1316g          $ 13
S Apple (green)       1340 g         $13.06
S Banana              1.011kg        $23
S pineapple           406g           $69
S Apple (red)         1.807 kg       $8.9
P banana              1.318 kg       $19.77
S Watermelon          1230g          $29.48
S Banana              225g           $22.43
S Pear                1.927 kg       $18.39
S apple (green)       1.607kg        $13.70
S Banana              352 g          $19.18
S Apple (red)         597 g          $9.20
S orange              301 g          $25
S Pineapple           1.353kg        $62
S Apple (green)       1.211 kg       $13.86
S Pineapple           1.745 kg       $ 59.09
S Pineapple           0.884 kg       $57
S Watermelon          1.531kg        $32.0
S pineapple           1337 g         $59.43
P Banana              1.214 kg       $20.87
S Apple (red)         402 g          $ 9.25
S Apple (green)       127 g          $ 13.63
S Apple (green)       1007 g         $14.4
S watermelon          125 g          $ 35.40
S pineapple           1761g          $68.81
S Orange              904 g          $25
P Pineapple           11.747kg       $53.3
S Orange              1897 g         $25.0
S Apple (red)         148 g          $ 8.75
S apple (red)         282 g          $8
S Apple (red)         1.195 kg       $ 7.9
S pear                1087 g         $20.45
P watermelon          2.636kg        $29.4
S Apple (green)       1.806kg        $ 14.05
P Orange              16.356kg       $21.2
S Pineapple           700 g          $59
S banana              1254 g         $19.92
S Pineapple           1.421kg        $ 57.84
S Pineapple           286 g          $ 68
P Apple (green)       3794g          $10.47
S Orange              0.725 kg       $26.70
S Pineapple           1342g          $60.49
S Pineapple           1.377 kg       $66
P Apple (red)         8744g          $8.3
S Watermelon          1813 g         $31
S Apple (red)         0.501 kg       $8.60
S Apple (red)         1174g          $ 9.53
S Pear                1788g          $17.13
S Apple (green)       1158 g         $12.78
P Watermelon          3.464kg        $26.13
S Apple (green)       1180 g         $13.24
S Pear                0.723 kg       $20.85
S Apple (red)         1.922kg        $8
S Orange              0.638 kg       $ 28.37
S apple (green)       160 g          $12.92
S Orange              303g           $26.41
S Apple (green)       1.846kg        $11.5
S Watermelon          1.445kg        $30.3
S Watermelon          567 g          $35
P Apple (green)       3.889kg        $10.86
P Banana              1679 g         $17.71
S Watermelon          499 g          $ 32.96
S Orange              836g           $ 24.06
P Banana              5.612 kg       $ 20.0
S orange              0.667 kg       $ 26.19
S Apple (green)       1.638kg        $13.72
S Banana              1748g          $19.19
S Apple (green)       1136g          $12.85
S watermelon          1876 g         $35.40
S Watermelon          177g           $31.42
S Watermelon          1.845kg        $34
P Pear                2.558 kg       $16.95
S Apple (red)         917g           $7.99
S Pineapple           1990g          $62.13
S Watermelon          197 g          $30.84
S watermelon          148g           $28.8
S Pear                1111g          $17.95
S Watermelon          0.911 kg       $ 35.47
S Apple (green)       1.499kg        $11.62
S Watermelon          0.661 kg       $35.42
S Apple (green)       1261 g         $11.52
S Pear                1355g          $20.4
S Pear                237g           $17.8
S Watermelon          114g           $34
S Pear                1052 g         $ 18.5
S Watermelon          1310g          $32
S Apple (red)         1.445 kg       $8.99
S Pineapple           135 g          $ 62.90
S Banana              1869g          $19.9
S Watermelon          209g           $ 32
S Pear                1.409 kg       $21.06
S Apple (red)         1590 g         $8.8
S Apple (red)         329 g          $9.1
S Apple (green)       0.882 kg       $14.03
S Pineapple           857 g          $68.2
S Banana              1.522kg        $20.4
S Pear                1378 g         $19.62
S Apple (green)       0.767 kg       $13
P Watermelon          14.749kg       $31.2
S Banana              106 g          $21.40
S Apple (green)       1645g          $13.06
S watermelon          1.237kg        $31.18
P Pineapple           11002 g        $53.42
S Orange              1.976 kg       $ 28.22
S banana              379 g          $19.1
P Pineapple           4.888kg        $53.91
S Orange              1345 g         $23.76
S Apple (green)       439g           $11.59
S orange              1.65 kg        $27.0
S Banana              1570 g         $22.79
S Watermelon          921 g          $35.62
P banana              1.162 kg       $16.30
S pineapple           436g           $ 68.60
P Banana              15812 g        $ 19.60
S Pineapple           1103 g         $64.0
S Banana              267 g          $23.6
S Watermelon          1140 g         $31.1
S Banana              1772 g         $19.11
S Apple (red)         1.63 kg        $ 9.35
S pineapple           774 g          $59.99
S Watermelon          308 g          $35.39
S apple (green)       102g           $13.7
S Apple (green)       326 g          $13.91
S orange              1930 g         $27
S pear                1176g          $17.25
S Apple (green)       425 g          $13.95
P Pear                16188 g        $17.21
S watermelon          0.63 kg        $32.2
S apple (green)       1.761 kg       $13.62
P Apple (red)         11330 g        $8.21
S Pear                1.489 kg       $17.21
P Apple (red)         15501 g        $6.99
S Pineapple           1857 g         $60.32
S Orange              128g           $28
S Watermelon          1.857 kg       $ 32.5
S pineapple           1.912kg        $ 68.0
S Orange              1947g          $27.96
S pear                797g           $18.49
S Watermelon          1031g          $30.55
S Pineapple           1806 g         $67
P Banana              10.888kg       $18.99
P Pear                1.869 kg       $14.59
S Orange              498 g          $24.87
S Pineapple           1.734 kg       $ 66.23
S Apple (red)         577g           $ 8.3
S Banana              1.437 kg       $21.39
S Apple (red)         1.683kg        $8.4
S Watermelon          1.468 kg       $29.6
S pear                1073 g         $21.0
S Banana              439g           $22
S Pear                458 g          $18.46
S Pear                1154g          $ 19.29
P Apple (red)         2.612 kg       $ 8.21
S Pear                0.78 kg        $21.24
S Orange              1.076 kg       $23.3
S Orange              0.987 kg       $ 28.8
S orange              491 g          $25.14
S watermelon          141 g          $34
S Apple (green)       1756g          $14.37
S Apple (green)       1.848 kg       $ 12.94
S Apple (green)       0.507 kg       $ 12.8
S Apple (green)       207 g          $13.9
S watermelon          1557g          $32.57
S Watermelon          805 g          $30.52
S Apple (red)         1.399kg        $8.5
S Banana              1.799kg        $23.0
S Apple (green)       0.978kg        $13.12
S Apple (red)         686 g          $8.90
P apple (green)       18288g         $9
S Orange              1.902kg        $24.89
S Orange              1846g          $24.0
S Pear                1.864 kg       $17.8
S Banana              1.421kg        $23.69
S Pineapple           396g           $64.4
S Apple (red)         1724g          $8.88
S banana              1334 g         $23.42
S Watermelon          1.988 kg       $29.62
S apple (red)         592g           $8
S Apple (red)         1586g          $9.31
S Pear                1.659 kg       $21.37
S apple (green)       145g           $ 11.9
S Watermelon          1728 g         $31
S Watermelon          0.538 kg       $31.49
S orange              310g           $ 23.3
S Apple (green)       1782g          $14.00
S Orange              1.655kg        $24
S Apple (green)       0.868kg        $12.39
P Pineapple           7268g          $ 59.11
S Banana              1.243 kg       $23.48
S Apple (green)       832g           $11.66
S Apple (red)         1.131 kg       $8.5
S Apple (green)       1.041 kg       $13.71
S banana              221g           $23.1
S pineapple           888 g          $ 61.73
S Pear                1.343 kg       $17
S Apple (green)       817 g          $13.98
S Watermelon          290g           $ 35.19
S Pear                497 g          $20.58
S Watermelon          224 g          $32.85
S Orange              620 g          $ 23.13
P Banana              6262 g         $ 18
S Banana              1559 g         $19.84
S pear                0.908 kg       $18.1
S orange              0.936 kg       $23.0
S Apple (green)       1.126 kg       $13.7
S Watermelon          1.725kg        $29.05
S Banana              1346g          $23.51
S watermelon          1.172 kg       $ 32.84
S Banana              0.596kg        $23.04
S Pineapple           1580 g         $67.8
S Banana              1217g          $22.44
S Banana              1151g          $22.45
S apple (green)       0.756kg        $13.86
S Apple (green)       307g           $11.89
S apple (red)         1.146 kg       $ 9
S Watermelon          907g           $30.7
S Orange              1663g          $ 24.95
S Apple (red)         908g           $8.96
S Apple (green)       0.628 kg       $12.20
S Orange              1790 g         $ 26.5
S Orange              906g           $25.64
S orange              1.438 kg       $23.8
S Orange              1193g          $24.3
S apple (green)       1029g          $ 13.60
S orange              1.313kg        $24
S Banana              0.831kg        $ 23.14
S watermelon          656g           $ 35.4
S Apple (green)       1.79 kg        $11.5
S apple (red)         1563 g         $8.25
S Pineapple           400g           $69.25
S Watermelon          1549 g         $30.3
S pineapple           686 g          $65.8
P Orange              19662g         $22.53
S Apple (red)         489 g          $8.62
S Pineapple           1.329 kg       $58.94
S Orange              1.3kg          $27.6
S Watermelon          1055g          $ 31.70
P Pear                2.51 kg        $ 18
S Pineapple           0.564 kg       $69.4
S watermelon          1.037 kg       $34.2
S Apple (red)         1.187 kg       $7.7
S Pear                1.1 kg         $21.28
S Orange              469g           $28.02
S banana              650 g          $23.43
S Orange              837g           $ 25.30
S Orange              1812g          $26.80
S Apple (red)         206g           $8.83
S banana              1.802kg        $22.17
S Pineapple           1532 g         $60.30
S apple (red)         279g           $8.90
S apple (red)         1756g          $7.63
S Pineapple           0.911kg        $59.66
S Pear                1368 g         $20.47
S Apple (red)         1466 g         $ 7.87
S Apple (green)       209 g          $ 11.99
S Orange              991 g          $27.3
S Banana              0.634kg        $ 20.90
S Watermelon          1.092kg        $29.78
S Apple (red)         438g           $ 8.6
S Pear                1908g          $19.1
S Apple (red)         1.79kg         $8.21
S Pear                1.057kg        $18
S Banana              1.466 kg       $20.4
S pear                428 g          $20.9
S Watermelon          1737g          $ 33.00
S Pineapple           1.871kg        $63.3
S Orange              1.489kg        $ 24.07
S Orange              334 g          $23.66
P Banana              16.924kg       $16.68
S Watermelon          577g           $30.60
S apple (green)       1700g          $12.88
P pineapple           12.543kg       $46.5
P Apple (green)       1798 g         $ 10.98
S Pineapple           1.453 kg       $65.0
P apple (red)         2.946 kg       $6.9
S Banana              0.714kg        $19.96
S apple (red)         155 g          $7
S Banana              125g           $21.2
S Banana              1.408 kg       $23.33
S Apple (green)       804g           $12.6
P Banana              6245g          $ 18
S Orange              1045 g         $25.2
S apple (red)         1826g          $ 8.08
S Orange              465 g          $27.9
S Orange              101 g          $ 27.2
P Apple (red)         16140 g        $6.40
S Banana              713 g          $20.8
S Pear                1053g          $19.63
S Pineapple           788 g          $66.14
S Orange              1.25kg         $ 24.03
S Apple (green)       861 g          $13.4
S watermelon          0.662kg        $ 28.67
S Apple (red)         180 g          $ 8.7
S Orange              464 g          $28.21
S Watermelon          1258g          $35.87
S Watermelon          1944g          $35.92
S Apple (green)       148 g          $13.75
S Apple (red)         854g           $7.69
S Apple (red)         0.938 kg       $7.89
P Pear                6771g          $ 16.85
S Pear                219g           $18.20
S apple (red)         1086g          $7.94
S watermelon          515g           $35.58
P orange              11839 g        $24
S Banana              0.549kg        $19.56
S pear                204g           $ 19.40
S Banana              937 g          $21.1
S Watermelon          1.139 kg       $ 32.01
S Apple (green)       1.398kg        $12
S Pineapple           0.969 kg       $55.48
S Apple (red)         1.245kg        $8.26
S watermelon          422g           $ 29.34
S apple (green)       1.544 kg       $14.28
S Apple (red)         340 g          $9.48
S pineapple           1440 g         $64.9
S Apple (red)         624g           $8.02
S Banana              266 g          $21.6
S Apple (red)         1000g          $8.58
P Banana              1790g          $ 18
S Apple (green)       0.951kg        $ 13.52
S Orange              0.819kg        $24.13
S Orange              289g           $26.7
S Banana              729g           $ 21.9
S Pear                669g           $19.0
S Apple (red)         147g           $8.40
P Apple (red)         6.539kg        $7.08
S watermelon          0.888 kg       $35
S apple (green)       996 g          $13.0
S Banana              0.884 kg       $19.4
S Watermelon          1292 g         $32.26
S Orange              1.655 kg       $23.4
S Watermelon          1.784kg        $30.10
S Apple (red)         1.447kg        $ 8.6
S Banana              0.595 kg       $22.4
S Banana              261 g          $21.69
P Orange              7.644 kg       $24
S Pear                1.579kg        $20.79
S Watermelon          1890g          $31.7
S Watermelon          1780g          $34.4
S Watermelon          1239 g         $30.0
S Pear                1.553 kg       $17.10
S Watermelon          1.423 kg       $35.08
S Banana              154g           $22.17
S Banana              1.74kg         $ 23.11
S Pineapple           1.506 kg       $ 64
S apple (red)         0.815 kg       $ 7.89
S Apple (green)       0.944 kg       $12.72
S Banana              0.839 kg       $21.33
S apple (red)         1.329 kg       $8.75
S Pineapple           1.85 kg        $69.40
S Pear                0.637kg        $17.91
S Orange              649 g          $27.15
S pineapple           1.684kg        $ 66.82
S banana              1.208 kg       $23.42
P Pineapple           17.364kg       $49.23
S apple (green)       1579 g         $13.7
S apple (red)         837g           $ 7.78
S Pear                826g           $20.8
S Banana              1.69 kg        $21.46
S Banana              1.055kg        $23.03
S Apple (green)       1403g          $12.76
S orange              1.203kg        $23.3
S watermelon          378 g          $30.40
S Apple (green)       462 g          $11.9
P pineapple           17.161kg       $55.34
S Apple (green)       239g           $12.67
S watermelon          0.699 kg       $34.8
S Banana              403g           $23.3
S Apple (green)       1158 g         $12.0
S Apple (green)       1622g          $12.75
S Watermelon          345g           $28
S banana              1972g          $19.89
S Watermelon          1.78kg         $34.72
S Orange              615g           $26.6
S Apple (green)       1.976kg        $13.90
S Apple (green)       0.88kg         $13
S Orange              0.538kg        $27.7
S banana              1.879kg        $22.37
S Orange              0.827 kg       $25.89
S watermelon          1.807 kg       $32.46
S Banana              1517 g         $ 19.4
S Pineapple           1.698 kg       $60
S Apple (green)       1736 g         $13.8
S Banana              271 g          $ 19.8
S Pear                1.505kg        $19.9
S Pear                1031 g         $ 19.3
S Apple (green)       1.825 kg       $11.83
S Watermelon          1.246 kg       $35.3
S Pear                1594 g         $21.56
S Apple (red)         929g           $9.55
S Banana              280g           $23.93
S Watermelon          1.666 kg       $34.55
S Apple (green)       0.905kg        $12.1
P Watermelon          3.311kg        $25.9
S Watermelon          1.527 kg       $30.1
P apple (green)       9.651 kg       $9.9
S Apple (green)       1951g          $12.10
S Orange              1141 g         $27.6
S Apple (red)         958 g          $8.1
S apple (green)       976g           $12.76
P Pear                3.165 kg       $17.30
S orange              1.092kg        $24.5
S Banana              1982g          $23.48
S Apple (green)       677 g          $12.46
S Orange              0.946 kg       $ 25.9
P Apple (red)         5.631 kg       $7.48
P Apple (red)         13232 g        $6.46
S banana              651g           $20.19
S Apple (red)         1.357 kg       $8.97
S Pineapple           472g           $ 61.60
S Pear                0.702 kg       $ 20.20
P Orange              2354g          $ 23.37
S watermelon          222 g          $29.5
S Watermelon          807 g          $34.88
S Pear                0.571kg        $ 17.52
S Watermelon          0.634kg        $31.59
S Apple (red)         236g           $ 9.60
P Apple (red)         6.144 kg       $8.10
S Pear                860g           $ 17.7
S Apple (red)         1.635 kg       $8.8
S Apple (green)       1.267 kg       $ 12.79
S Apple (red)         1622g          $8.37
S Pear                1349g          $21.46
S Apple (red)         1.359 kg       $7.7
P Apple (green)       18656g         $11.06
S Watermelon          1445g          $32.27
S apple (red)         979g           $8.72
S Pineapple           1.523kg        $ 69.47
S Apple (red)         1915g          $ 8.31
S Watermelon          1991g          $32.10
S Banana              1350 g         $19.4
S watermelon          1129g          $33
S Watermelon          197g           $ 28
S watermelon          1.724kg        $34.45
S Pear                1.792 kg       $21.4
S banana              285 g          $19.6
S Watermelon          1.765 kg       $34.2
S Banana              0.915 kg       $19.20
S Orange              532g           $27.2
S watermelon          1.877kg        $ 34.2
S Watermelon          0.865 kg       $33.19
S Pineapple           0.898 kg       $67.76
S pineapple           1.036kg        $68.65
S apple (green)       1029 g         $13.4
P Watermelon          10016 g        $30.48
S Pineapple           0.563 kg       $62.6
S Orange              1495 g         $23.18
S Pear                1.967kg        $20
S Apple (green)       0.608kg        $13.1
S Apple (red)         1.82 kg        $8.35
S Pineapple           1.028 kg       $ 67.60
P Banana              17224 g        $18.62
S Apple (green)       165 g          $11.84
S Orange              1.737kg        $ 26.41
S Orange              870 g          $25.0
S orange              1009 g         $28.47
S Apple (red)         143g           $8
S pear                1.515 kg       $ 19.2
S Banana              1401 g         $ 21.41
S Orange              1.853kg        $ 25.54
S Watermelon          1131 g         $29.95
S Apple (green)       1.116 kg       $12
S Pear                441g           $21.39
S orange              1.001kg        $26
P Watermelon          2.17kg         $ 25.72
S orange              1890g          $25
S Orange              1.635 kg       $26.6
S Apple (green)       499 g          $12.6
S banana              1.205 kg       $19.63
S Apple (red)         1571 g         $ 8.68
S Apple (red)         138g           $8.4
S Pear                0.858 kg       $20.70
S Apple (green)       1895g          $12.0
S Apple (green)       1405 g         $14.33
S Banana              1161g          $20.0
S Apple (red)         1.022kg        $8.1
S apple (green)       1850g          $12.78
S apple (red)         558g           $8.85
S apple (green)       418g           $11.61
S Pineapple           1.331kg        $57.0
S Orange              120g           $27.34
S orange              1747g          $27.3
P Banana              1371g          $19.4
S apple (red)         1.894 kg       $9.04
S Apple (green)       1.954kg        $ 12
S Apple (green)       1.819kg        $12.8
P pear                13.458 kg      $14.75
S Pear                0.509 kg       $19.26
S Apple (green)       404g           $13.88
P Apple (red)         8.943 kg       $7.93
P Banana              4.359kg        $19.94
S watermelon          0.847 kg       $30.23
P Watermelon          18368g         $29.27
S Pear                0.842 kg       $18.9
S watermelon          223g           $ 30.85
S Orange              0.572kg        $24.9
S Apple (green)       855g           $11.79
S Watermelon          1801g          $ 32.4
S apple (red)         1.297 kg       $7.9
S Apple (red)         836 g          $7.84
S Orange              1.815kg        $24.5
S Pear                1.116 kg       $19.9
S apple (red)         206g           $8.28
S orange              864g           $24.12
S Apple (green)       1640 g         $12
S Apple (red)         1.567kg        $8.3
S Pear                0.95 kg        $ 20.9
S Orange              770 g          $27.78
P pear                19553g         $15
S Apple (green)       1840 g         $ 12
P Pear                10.165kg       $14.45
S Orange              1392g          $28.09
S Apple (red)         0.792kg        $8.8
